date;yilbasi;black_friday;tatil;bayramlar
202001;1;0;1;0
202002;0;0;0;0
202003;0;0;0;0
202004;0;0;0;0
202005;0;0;0;1
202006;0;0;1;0
202007;0;0;1;1
202008;0;0;1;0
202009;0;0;0;0
202010;0;0;0;0
202011;0;1;0;0
202012;0;0;0;0
202101;1;0;1;0
202102;0;0;0;0
202103;0;0;0;0
202104;0;0;0;0
202105;0;0;0;1
202106;0;0;1;0
202107;0;0;1;1
202108;0;0;1;0
202109;0;0;0;0
202110;0;0;0;0
202111;0;1;0;0
202112;0;0;0;0
202201;1;0;1;0
202202;0;0;0;0
202203;0;0;0;0
202204;0;0;0;0
202205;0;0;0;1
202206;0;0;1;0
202207;0;0;1;1
202208;0;0;1;0
202209;0;0;0;0
202210;0;0;0;0
202211;0;1;0;0
202212;0;0;0;0
202301;1;0;1;0
202302;0;0;0;0
202303;0;0;0;0
202304;0;0;0;1
202305;0;0;0;0
202306;0;0;1;1
202307;0;0;1;0
202308;0;0;1;0
202309;0;0;0;0
202310;0;0;0;0
202311;0;1;0;0
202312;0;0;0;0
