id;month_id;tufe
1;202001;1,35
2;202002;0,35
3;202003;0,57
4;202004;0,85
5;202005;1,36
6;202006;1,13
7;202007;0,58
8;202008;0,86
9;202009;0,97
10;202010;2,13
11;202011;2,3
12;202012;1,25
13;202101;1,68
14;202102;0,91
15;202103;1,08
16;202104;1,68
17;202105;0,89
18;202106;1,94
19;202107;1,8
20;202108;1,12
21;202109;1,25
22;202110;2,39
23;202111;3,51
24;202112;13,58
25;202201;11,1
26;202202;4,81
27;202203;5,46
28;202204;7,25
29;202205;2,98
30;202206;4,95
31;202207;2,37
32;202208;1,46
33;202209;3,08
34;202210;3,54
35;202211;2,88
36;202212;1,18
37;202301;6,65
38;202302;3,15
39;202303;2,29
40;202304;2,39
41;202305;0,04
42;202306;3,92
43;202307;9,49
44;202308;9,09
45;202309;4,75
46;202310;3,43
47;202311;3,28
48;202312;2,93
