id;month_id;yi_ufe
1;202001;1,84
2;202002;0,48
3;202003;0,87
4;202004;1,28
5;202005;1,54
6;202006;0,69
7;202007;1,02
8;202008;2,35
9;202009;2,65
10;202010;3,55
11;202011;4,08
12;202012;2,36
13;202101;2,66
14;202102;1,22
15;202103;4,13
16;202104;4,34
17;202105;3,92
18;202106;4,01
19;202107;2,46
20;202108;2,77
21;202109;1,55
22;202110;5,24
23;202111;9,99
24;202112;19,08
25;202201;10,45
26;202202;7,22
27;202203;9,19
28;202204;7,67
29;202205;8,76
30;202206;6,77
31;202207;5,17
32;202208;2,41
33;202209;4,78
34;202210;7,83
35;202211;0,74
36;202212;-0,24
37;202301;4,15
38;202302;1,56
39;202303;0,44
40;202304;0,81
41;202305;0,65
42;202306;6,50
43;202307;8,23
44;202308;5,89
45;202309;3,40
46;202310;1,94
47;202311;2,81
48;202312;1,14
