date	usd	usd_perc
202312	29,7336	2,03%
202311	28,9609	2,05%
202310	28,4789	3,28%
202309	27,665	2,68%
202308	27,4931	-0,88%
202307	27,1919	3,37%
202306	26,1959	25,25%
202305	20,831	6,92%
202304	19,7168	1,43%
202303	19,4223	1,54%
202302	19,3037	0,40%
202301	18,8578	0,65%
202212	18,797	0,42%
202211	18,6975	-0,02%
202210	18,6871	0,61%
202209	18,5567	1,67%
202208	18,237	1,58%
202207	17,9814	7,27%
202206	17,4114	1,81%
202205	16,4827	10,45%
202204	14,8731	1,21%
202203	14,9989	5,96%
202202	14,6364	3,96%
202201	13,9455	0,00%
202112	18,3674	-1,17%
202111	13,7441	40,28%
202110	9,8595	8,06%
202109	8,9607	6,91%
202108	8,6915	-1,63%
202107	8,7505	-2,92%
202106	8,8042	2,58%
202105	8,6232	2,43%
202104	8,4992	0,48%
202103	8,4595	11,09%
202102	7,4866	1,51%
202101	7,5452	-1,64%
202012	8,0315	-5,05%
202011	8,5829	-6,16%
202010	8,3857	8,14%
202009	7,8602	5,01%
202008	7,4201	5,43%
202007	7,0119	1,74%
202006	6,8631	0,47%
202005	7,2705	-2,38%
202004	7,0104	5,63%
202003	6,6221	5,95%
202002	6,2605	4,35%
202001	5,9881	0,56%
